Platform,Firm,Date Released (Year AD),Units sold (million),Estimate
PlayStation 2,Sony,2000,155,
Nintendo DS,Nintendo,2004,154,
Game Boy,Nintendo,1989,119,
PlayStation 4,Sony,2013,110,
PlayStation,Sony,1994,102,
Wii,Nintendo,2006,102,
PlayStation 3,Sony,2006,87,
Xbox 360,Microsoft,2005,54,
Game Boy Advance,Nintendo,2001,82,
PlayStation Portable,Sony,2004,81,estimate
Nintendo 3DS,Nintendo,2011,76,
Nintendo Entertainment System,Nintendo,1983,62,
Nintendo Switch,Nintendo,2017,56,
Super Nintendo Entertainment System,Nintendo,1990,49,
Xbox One ,Microsoft,2013,47,estimate
Sega Genesis,Sega,1988,35,
Nintendo 64,Nintendo,1996,34,
Atari 2600,Atari,1977,30,
Xbox,Microsoft,2001,24,
GameCube,Nintendo,2001,22,
WiiU,Nintendo,2012,14,
Sega Game Gear,Sega,1990,11,
PlayStation Vita,Sony,2011,12,estimate
Master System,Sega,1986,11,
TurboGrafx-16,NEC/Hudson Soft[note 6],1987,10,
Sega Saturn,Sega,1994,9,
Dreamcast,Sega,1998,9,
Super NES Classic Edition,Nintendo,2017,5,
Sega Pico,Sega,1993,3.4,
WonderSwan,Bandai,1999,3.5,
Color TV-Game,Nintendo,1977,3,
Intellivision,Mattel,1980,3,
N-Gage,Nokia,2003,3,
NES Classic Edition,Nintendo,2016,3,
ColecoVision,Coleco,1982,2,
Magnavox Odyssey,Magnavox/Philips,1978,2,
Atari Lynx,Atari,1989,1,
Philips CD-i,Philips,1991,1,
Telstar,Coleco,1976,1,
Atari 5200,Atari,1982,1,
